"Date","Time","Tide"
"01-01-2018","6:17",0.21
"01-01-2018","12:20",1.94
"01-01-2018","18:02",0.47
"02-01-2018","0:26",2.6
"02-01-2018","7:06",0.11
"02-01-2018","13:09",1.97
"02-01-2018","18:53",0.44
"03-01-2018","1:14",2.66
"03-01-2018","7:55",0.06
"03-01-2018","13:58",1.98
"03-01-2018","19:42",0.44
"04-01-2018","2:02",2.65
"04-01-2018","8:43",0.08
"04-01-2018","14:47",1.96
"04-01-2018","20:32",0.48
"05-01-2018","2:50",2.56
"05-01-2018","9:31",0.15
"05-01-2018","15:37",1.93
"05-01-2018","21:23",0.55
"06-01-2018","3:40",2.41
"06-01-2018","10:21",0.26
"06-01-2018","16:30",1.88
"06-01-2018","22:17",0.64
"07-01-2018","4:32",2.22
"07-01-2018","11:12",0.4
"07-01-2018","17:27",1.84
"07-01-2018","23:19",0.75
"08-01-2018","5:31",2.01
"08-01-2018","12:09",0.53
"08-01-2018","18:32",1.82
"09-01-2018","0:35",0.83
"09-01-2018","6:40",1.81
"09-01-2018","11:42",0.67
"09-01-2018","18:06",1.75
"10-01-2018","2:06",0.83
"10-01-2018","7:59",1.69
"10-01-2018","14:18",0.7
"10-01-2018","20:48",1.93
"11-01-2018","3:25",0.76
"11-01-2018","9:15",1.64
"11-01-2018","15:18",0.72
"11-01-2018","21:44",2.02
"12-01-2018","4:25",0.65
"12-01-2018","10:17",1.65
"12-01-2018","16:10",0.73
"12-01-2018","22:31",2.11
"13-01-2018","5:13",0.55
"13-01-2018","11:07",1.68
"13-01-2018","16:53",0.71
"13-01-2018","23:11",2.18
"14-01-2018","5:53",0.47
"14-01-2018","11:48",1.72
"14-01-2018","17:29",0.69
"14-01-2018","23:46",2.23
"15-01-2018","6:28",0.41
"15-01-2018","12:24",1.75
"15-01-2018","17:59",0.67
"16-01-2018","0:18",2.28
"16-01-2018","6:58",0.38
"16-01-2018","12:56",1.76
"16-01-2018","18:27",0.65
"17-01-2018","0:48",2.3
"17-01-2018","7:26",0.36
"17-01-2018","13:26",1.77
"17-01-2018","18:57",0.63
"18-01-2018","1:18",2.3
"18-01-2018","7:54",0.36
"18-01-2018","13:56",1.77
"18-01-2018","19:29",0.63
"19-01-2018","1:48",2.28
"19-01-2018","8:25",0.37
"19-01-2018","14:27",1.77
"19-01-2018","20:03",0.65
"20-01-2018","2:19",2.23
"20-01-2018","8:58",0.41
"20-01-2018","15:01",1.75
"20-01-2018","20:38",0.69
"21-01-2018","2:52",2.16
"21-01-2018","9:33",0.46
"21-01-2018","15:36",1.74
"21-01-2018","21:17",0.74
"22-01-2018","3:27",2.05
"22-01-2018","10:11",0.53
"22-01-2018","16:17",1.73
"22-01-2018","22:04",0.81
"23-01-2018","4:07",1.92
"23-01-2018","10:53",0.6
"23-01-2018","17:05",1.72
"23-01-2018","23:04",0.86
"24-01-2018","5:00",1.79
"24-01-2018","11:42",0.67
"24-01-2018","18:06",1.75
"25-01-2018","0:18",0.88
"25-01-2018","6:12",1.66
"25-01-2018","12:40",0.71
"25-01-2018","19:18",1.82
"26-01-2018","1:39",0.84
"26-01-2018","7:41",1.6
"26-01-2018","13:43",0.73
"26-01-2018","20:28",1.95
"27-01-2018","3:01",0.71
"27-01-2018","9:06",1.61
"27-01-2018","14:47",0.7
"27-01-2018","21:32",2.11
"28-01-2018","4:15",0.54
"28-01-2018","10:19",1.69
"28-01-2018","15:52",0.65
"28-01-2018","22:31",2.29
"29-01-2018","5:17",0.35
"29-01-2018","11:20",1.8
"29-01-2018","16:57",0.57
"29-01-2018","23:26",2.46
"30-01-2018","6:09",0.19
"30-01-2018","12:13",1.91
"30-01-2018","17:56",0.47
"31-01-2018","0:17",2.59
"31-01-2018","6:57",0.07
"31-01-2018","13:00",2
"31-01-2018","18:48",0.39
